Time,Value
50,267
100,265
150,266
201,266
251,267
302,265
353,266
403,264
453,268
504,262
555,265
605,265
656,265
706,266
756,264
807,265
858,264
908,265
959,265
1009,265
1059,264
1111,265
1161,267
1211,264
1262,266
1312,265
1362,265
1414,265
1464,263
1514,265
1565,266
1615,266
1667,266
1717,264
1767,266
1818,266
1868,265
1918,263
1970,265
2020,266
2070,266
2121,264
2171,264
2223,264
2273,266
2323,264
2374,266
2424,264
2475,263
2526,265
2576,266
2626,265
2677,264
2727,265
2779,265
2829,265
2879,266
2930,265
2980,265
3031,264
3082,265
3132,267
3182,266
3233,264
3283,266
3335,264
3385,266
3435,265
3486,265
3536,266
3587,267
3638,264
3688,266
3738,265
3789,267
3840,265
3890,266
3941,267
3991,266
4042,266
4092,266
4143,267
4194,267
4244,266
4294,265
4345,266
4396,265
4446,267
4497,267
4547,267
4598,265
4648,266
4699,265
4750,265
4800,266
4850,267
4901,265
4952,265
5002,265
5053,268
5103,263
5154,267
5204,263
5255,266
5306,267
5356,264
5406,266
5457,266
5508,266
5558,263
5609,265
5659,265
5710,265
5761,265
5811,265
5862,265
5912,266
5962,263
6013,264
6064,264
6114,264
6165,265
6215,264
6266,268
6317,265
6367,265
6418,264
6468,265
6518,265
6569,266
6620,266
6670,265
6721,264
6771,265
6822,265
6873,265
6923,266
6974,266
7024,265
7074,265
7126,265
7176,263
7226,264
7277,265
7327,264
7378,267
7429,265
7479,264
7530,265
7580,266
7630,266
7682,267
7732,264
7782,264
7833,265
7883,266
7934,265
7985,265
8035,266
8086,264
8136,266
8186,265
8238,266
8288,266
8338,266
8389,265
8439,266
8491,266
8541,265
8591,266
8642,266
8692,265
8742,266
8794,265
8844,262
8894,265
8945,266
8995,264
9047,264
9097,266
9147,266
9198,265
9248,265
9298,264
9350,264
9400,265
9450,265
9501,264
9551,265
9602,264
9653,262
9703,264
9754,266
9804,265
9854,264
9906,267
9956,265
10006,267
10057,266
10107,263
10159,263
10209,267
10259,264
10310,265
10360,266
10412,264
10462,265
10513,265
10563,264
10613,266
10664,264
10715,265
10766,264
10816,262
10866,266
10917,265
10968,263
11019,266
11069,265
11120,263
11170,265
11220,265
11272,265
11322,267
11373,267
11423,265
11473,267
11525,266
11575,265
11626,266
11676,264
11726,265
11778,266
11828,264
11879,265
11929,264
11980,265
12030,265
12081,265
12132,263
12182,265
12233,265
12283,265
12334,266
12385,266
12435,264
12486,264
12536,265
12588,266
12638,263
12688,264
12739,265
12789,265
12840,262
12891,265
12941,264
12992,264
13042,265
13093,264
13144,261
13194,266
13245,265
13295,265
13346,265
