Time,Value
32524,271
32574,271
32625,269
32675,270
32727,272
32777,271
32827,272
32878,271
32928,270
32979,269
33030,269
33080,271
33131,270
33181,270
33232,269
33283,270
33334,270
33384,268
33434,268
33485,266
33536,268
33587,269
33637,266
33687,267
33738,268
33788,266
33840,268
33890,268
33941,267
33991,268
34041,267
34093,265
34143,269
34194,268
34244,267
34294,266
34345,267
34396,269
34447,268
34497,269
34548,268
34598,268
34649,266
34700,269
34750,268
34801,267
34851,267
34902,267
34953,268
35003,269
35054,266
35104,267
35154,267
35206,268
35256,271
35307,266
35357,267
35408,267
35459,266
35509,267
35560,266
35610,267
35661,267
35712,267
35762,268
35813,269
35863,270
35914,269
35964,267
36016,268
36066,267
36116,267
36167,267
36217,268
36269,268
36319,268
36369,267
36420,268
36470,268
36521,268
36572,270
36623,269
36673,267
36723,270
36774,268
36825,268
36876,270
36926,268
36976,268
37027,268
37078,270
37129,267
37179,270
37230,269
37280,269
37330,268
37382,269
37432,267
37483,267
37533,267
37583,269
37635,268
37685,269
37736,269
37786,269
37837,266
37888,268
37938,267
37989,269
38039,266
38090,268
38140,268
38191,267
38242,270
38292,267
38343,269
38393,267
38445,268
38495,269
38545,266
38596,268
38646,269
38697,268
38748,267
38798,266
38849,267
38899,267
38950,269
39001,268
39052,270
39102,267
39152,266
39203,267
39254,268
39305,268
39355,269
39405,266
39456,266
39506,267
39558,267
39608,268
39659,268
39709,268
39759,268
39811,268
39861,269
39912,269
39962,269
40012,270
40064,267
40114,267
40165,270
40215,268
40265,268
40316,267
40367,270
40418,270
40468,268
40519,268
40569,267
40620,269
40671,270
40721,268
40772,270
40822,266
40872,267
40924,268
40974,269
41025,268
41075,266
41126,267
41177,270
41227,269
41278,268
41328,267
41379,268
41430,267
41480,269
41531,266
41581,268
41632,266
41682,268
41734,269
41784,270
41834,271
41885,269
41935,271
41987,268
42037,268
42087,270
42138,270
42188,267
42240,268
42290,270
42340,267
42391,268
42441,268
42492,268
42543,268
42594,268
42644,268
42694,267
42745,269
42796,270
42847,267
42897,266
42947,267
42998,268
43048,268
43100,268
43150,268
43201,267
43251,268
43301,269
43353,269
43403,269
43454,269
43504,268
43554,267
43606,271
43656,269
43707,269
43757,266
43808,269
43858,269
43909,265
43960,268
44010,267
44061,267
44111,269
44162,269
44213,269
44263,269
44314,268
44364,267
44414,270
44466,268
44516,268
44567,267
44617,268
44668,267
44719,266
44769,268
44820,268
44870,268
44921,267
44972,270
45022,269
45073,268
45123,268
45174,269
45224,267
45276,268
45326,268
45376,267
45427,266
45477,267
45529,270
45579,269
45629,266
45680,268
45730,266
45782,268
45832,269
45883,270
45933,269
45983,269
46034,269
46085,267
46136,268
46186,268
46236,268
46287,268
46338,268
46389,267
46439,268
46490,266
46540,269
46590,268
46642,267
46692,267
46743,269
46793,269
46843,267
46895,265
46945,267
46996,268
47046,268
47097,267
47148,267
47198,268
47249,268
47299,269
47350,270
47400,267
47451,269
47502,268
47552,269
47603,268
47653,267
47704,266
47755,267
47805,269
47856,268
47906,268
47958,268
48008,268
48058,268
48109,268
48159,268
48210,267
48261,268
48311,269
48362,268
48412,267
48463,268
48514,268
48565,268
48615,269
48665,268
48716,268
48766,271
48818,268
48868,269
48918,267
48969,267
49019,268
49071,267
49121,265
49172,268
49222,267
49272,267
49324,269
49374,267
49425,267
49475,268
49525,266
49576,266
49627,267
49678,267
49728,268
49779,267
49829,266
49880,268
49931,265
49981,268
50032,268
50082,268
50132,267
50184,268
50234,269
50285,266
50335,269
50386,270
50437,266
50487,267
50538,265
50588,266
50639,267
50690,267
50740,267
50791,267
50841,268
50892,269
50942,268
50994,268
51044,268
51094,267
51145,267
51195,266
51247,267
51297,268
51347,265
51398,267
51448,265
51500,265
51550,267
51601,266
51651,266
51701,267
51752,265
51803,267
51854,267
51904,266
51954,266
52005,264
52056,265
52107,265
52157,265
52207,266
52258,264
52308,266
52360,267
52410,266
52461,266
52511,267
52561,267
52613,264
52663,267
52714,265
52764,264
52814,268
52866,267
52916,265
52967,265
53017,265
53068,264
53118,264
53169,263
53220,265
53270,264
53321,264
53371,265
53422,263
53473,263
53523,263
53574,265
53624,264
53676,264
53726,265
53776,265
53827,265
53877,262
53928,264
53979,265
54029,262
54080,262
54130,264
54181,265
54232,266
54282,265
54333,265
54383,264
54434,264
54484,263
54536,264
54586,266
54636,264
54687,264
54737,264
54789,264
54839,262
54889,263
54940,264
54990,262
55042,263
55092,263
55143,266
55193,263
55243,265
55294,265
55345,265
55396,265
55446,264
55496,265
55547,265
55598,264
55649,261
55699,266
55750,265
55800,266
55851,266
55902,267
55952,267
56003,267
56053,266
56103,265
56155,266
56205,264
56256,266
56306,266
56357,267
56408,266
56458,265
56509,263
56559,265
56610,267
56660,265
56711,264
56762,267
56812,263
56863,265
56913,265
56965,266
57015,266
57065,265
57116,266
57166,267
57218,265
57268,265
57318,266
57369,265
57419,266
57470,265
57521,265
57572,267
57622,266
57672,266
57723,266
57774,266
57825,265
57875,264
57925,266
57976,265
58027,266
58078,266
58128,266
58179,266
58229,266
58279,268
58331,267
58381,268
58432,268
58482,265
58532,266
58584,268
58634,265
58685,265
58735,266
58785,265
58836,267
58887,267
58938,266
58988,265
59039,266
59089,264
59140,266
59191,265
59241,266
59292,265
59342,266
59393,265
59444,268
59494,268
59545,265
59595,265
59646,266
59697,267
59747,267
59798,266
59848,266
59899,266
59950,266
60000,266
60051,267
60101,266
60152,265
60203,266
60254,264
60304,266
60354,265
60405,266
60455,267
60507,265
60557,266
60607,266
60658,266
60708,265
60760,265
60810,268
60861,266
60911,268
60961,266
61012,264
61063,266
61114,267
61164,265
61214,267
61265,268
61316,267
61367,267
61417,266
61468,264
61518,267
61569,267
61620,267
61670,266
61721,267
61771,265
61821,268
61873,265
61923,265
61974,266
62024,263
62075,263
62126,261
62176,263
62227,263
62277,267
62328,263
62379,264
62429,264
62480,264
62530,264
62581,263
62631,264
62683,265
62733,265
62783,264
62834,263
62884,263
62936,264
62986,264
63036,263
63087,264
63137,264
63188,263
63239,265
63290,264
63340,264
63390,265
63441,265
63492,265
63543,265
63593,264
63643,265
63694,265
63745,267
63796,266
63846,266
63897,266
63947,267
63997,265
64049,266
64099,266
64150,265
64200,265
64250,265
64302,264
64352,265
64403,264
64453,264
64504,265
64555,264
64605,266
64656,265
64706,264
64757,267
64807,265
64858,266
64909,265
64959,266
65010,266
65060,267
65112,268
65162,266
65212,265
65263,268
65313,267
65364,265
65415,267
65465,266
65516,265
65566,266
65617,266
65668,266
65718,269
65769,266
65819,267
65870,267
65921,265
65972,267
66022,265
66072,267
66123,266
66173,267
66225,266
66275,267
66325,266
66376,264
66426,266
66478,266
66528,266
66579,268
66629,265
66679,266
66731,267
66781,264
66832,267
66882,265
66932,267
66983,267
67034,266
67085,268
67135,268
67186,266
67236,265
67287,266
67338,267
67388,266
67439,265
67489,266
67539,267
67591,266
67641,266
67692,267
67742,267
67792,266
67844,267
67894,265
67945,266
67995,266
68046,266
68097,268
68147,266
68198,266
68248,263
68299,266
68349,266
68400,264
68451,266
68501,265
68552,267
68602,267
68654,267
68704,269
68754,269
68805,267
68855,266
68907,267
68957,266
69007,266
69058,266
69108,268
69159,265
69210,267
69261,265
69311,266
69361,267
69412,265
69463,267
69514,268
69564,267
69614,266
69665,266
69715,267
69767,267
69817,266
69868,266
69918,268
69968,268
70020,266
70070,268
70121,266
70171,267
70221,267
70273,267
70323,266
70374,265
70424,265
70475,265
70525,265
70576,265
70627,267
70677,266
70728,264
70778,267
70829,267
70880,268
70930,268
70981,266
71031,268
71083,266
71133,266
71183,266
71234,268
71284,266
71335,265
71386,266
71436,265
71487,267
71537,265
71588,266
71639,268
71690,268
71740,265
71790,267
71841,267
71891,264
71943,265
71993,266
72043,266
72094,265
72144,266
72196,265
72246,267
72297,265
72347,267
72397,265
72449,267
72499,268
72550,266
72600,266
72650,266
72701,266
72752,263
72803,266
72853,267
72904,265
72954,266
73005,266
73056,265
73106,265
73157,268
73207,270
73257,267
73309,266
73359,266
73410,266
73460,263
73511,266
73562,266
73612,266
73663,268
73713,267
73764,268
73815,266
73865,265
73916,265
73966,268
74017,267
74067,265
74119,267
74169,267
74219,267
74270,266
74320,266
74372,267
74422,266
74472,267
74523,269
74573,269
74625,267
74675,268
74726,266
74776,268
74826,266
74877,266
74928,266
74979,266
75029,264
75079,265
75130,267
75181,265
75232,266
75282,266
75333,267
75383,267
75433,268
75485,266
75535,268
75586,266
75636,265
75686,266
75738,266
75788,267
75839,267
75889,267
75940,266
75991,266
76041,266
76092,266
76142,266
76193,267
76243,265
76295,266
76345,266
76395,266
76446,267
76496,264
76548,265
76598,267
76648,267
76699,266
76749,264
76801,266
76851,268
76902,266
76952,269
77002,267
77053,266
77104,267
77155,266
77205,265
77255,265
77306,266
77357,268
77408,270
77458,267
77509,267
77559,267
77609,268
77661,267
77711,267
77762,268
77812,265
77862,267
77914,267
77964,268
78015,265
78065,267
78116,269
78167,267
78217,267
78268,266
78318,266
78369,267
78419,268
78470,267
78521,268
78571,267
78622,267
78672,268
78724,264
78774,267
78824,266
78875,266
78925,267
78977,267
79027,268
79077,267
79128,267
79178,267
79229,266
79280,267
79331,267
79381,266
79431,267
79482,265
79533,266
79584,266
79634,266
79684,266
79735,267
79785,268
79837,266
79887,264
79938,265
79988,266
80038,265
80090,266
80140,268
80191,266
80241,266
80291,265
80343,265
80393,266
80444,267
80494,267
80545,268
80595,268
80646,268
80697,268
80747,266
80798,266
80848,266
80899,267
80950,267
81000,266
81051,266
81101,268
81153,268
81203,266
81253,269
81304,268
81354,266
81405,267
81456,267
81506,266
81557,265
81607,266
81658,266
81709,266
81760,267
81810,264
81860,266
81911,265
81961,267
82013,265
82063,266
82113,265
82164,267
82214,265
82266,267
82316,266
82367,266
82417,266
82467,267
82519,267
82569,266
82620,266
82670,269
82720,268
82771,268
82822,267
82873,268
82923,268
82973,266
83024,267
83075,265
83126,266
83176,268
83227,268
83277,268
83328,267
83379,268
83429,268
83480,269
83530,269
83580,270
83632,268
83682,267
83733,268
83783,268
83834,268
83885,268
83935,267
83986,269
84036,268
84087,268
84137,269
84188,268
84239,267
84289,268
84340,269
84390,268
84442,266
84492,266
84542,268
84593,268
84643,267
84695,268
84745,265
84795,267
84846,267
84896,268
84947,268
84998,269
85048,266
85099,268
85149,269
85200,266
85251,268
85302,267
85352,268
85402,266
85453,267
85504,268
85555,268
85605,269
85655,266
85706,266
85756,269
85808,268
85858,267
85909,266
85959,267
86009,268
86061,267
86111,267
86162,267
86212,267
86262,266
86313,266
86364,266
86415,267
86465,268
86516,267
86566,266
86617,268
86668,266
86718,266
86769,268
86819,266
86870,267
86921,266
86971,267
87022,267
87072,266
87123,267
87174,267
