Time,Value
32524,265
32574,265
32625,267
32675,265
32727,266
32777,266
32827,266
32878,267
32928,266
32979,265
33030,265
33080,266
33131,267
33181,265
33232,264
33283,267
33334,265
33384,264
33434,267
33485,265
33536,266
33587,267
33637,265
33687,264
33738,266
33788,265
33840,265
33890,267
33941,265
33991,266
34041,266
34093,265
34143,265
34194,267
34244,265
34294,267
34345,264
34396,266
34447,266
34497,265
34548,265
34598,268
34649,267
34700,266
34750,267
34801,267
34851,266
34902,266
34953,266
35003,267
35054,267
35104,266
35154,267
35206,267
35256,264
35307,267
35357,267
35408,264
35459,265
35509,264
35560,265
35610,266
35661,266
35712,265
35762,266
35813,264
35863,266
35914,268
35964,267
36016,266
36066,266
36116,263
36167,267
36217,266
36269,264
36319,267
36369,266
36420,265
36470,267
36521,265
36572,266
36623,268
36673,267
36723,267
36774,266
36825,266
36876,266
36926,266
36976,267
37027,264
37078,264
37129,264
37179,265
37230,264
37280,260
37330,265
37382,264
37432,263
37483,266
37533,265
37583,264
37635,264
37685,266
37736,266
37786,267
37837,267
37888,268
37938,268
37989,268
38039,267
38090,269
38140,267
38191,266
38242,267
38292,266
38343,268
38393,267
38445,264
38495,268
38545,268
38596,267
38646,266
38697,268
38748,269
38798,267
38849,267
38899,268
38950,268
39001,266
39052,267
39102,268
39152,265
39203,269
39254,269
39305,265
39355,268
39405,268
39456,268
39506,268
39558,268
39608,267
39659,268
39709,269
39759,269
39811,268
39861,267
39912,269
39962,269
40012,270
40064,269
40114,269
40165,266
40215,269
40265,268
40316,268
40367,268
40418,267
40468,265
40519,268
40569,268
40620,267
40671,267
40721,267
40772,269
40822,268
40872,266
40924,268
40974,269
41025,268
41075,268
41126,270
41177,268
41227,268
41278,268
41328,266
41379,268
41430,269
41480,267
41531,268
41581,267
41632,269
41682,269
41734,266
41784,267
41834,269
41885,270
41935,267
41987,270
42037,266
42087,267
42138,268
42188,266
42240,268
42290,268
42340,267
42391,269
42441,268
42492,268
42543,268
42594,268
42644,269
42694,268
42745,270
42796,268
42847,269
42897,267
42947,267
42998,268
43048,269
43100,268
43150,269
43201,268
43251,267
43301,268
43353,267
43403,267
43454,265
43504,268
43554,268
43606,269
43656,267
43707,268
43757,267
43808,267
43858,268
43909,268
43960,268
44010,269
44061,268
44111,267
44162,269
44213,267
44263,268
44314,269
44364,266
44414,268
44466,269
44516,270
44567,268
44617,269
44668,268
44719,268
44769,269
44820,267
44870,269
44921,267
44972,268
45022,268
45073,268
45123,268
45174,269
45224,267
45276,270
45326,269
45376,267
45427,269
45477,268
45529,268
45579,268
45629,270
45680,269
45730,268
45782,269
45832,268
45883,269
45933,269
45983,268
46034,269
46085,269
46136,268
46186,270
46236,266
46287,270
46338,266
46389,265
46439,268
46490,269
46540,267
46590,268
46642,268
46692,268
46743,269
46793,268
46843,269
46895,269
46945,268
46996,268
47046,269
47097,268
47148,268
47198,269
47249,266
47299,268
47350,267
47400,268
47451,267
47502,268
47552,269
47603,269
47653,270
47704,269
47755,269
47805,268
47856,268
47906,268
47958,266
48008,269
48058,269
48109,269
48159,270
48210,270
48261,269
48311,270
48362,267
48412,267
48463,270
48514,269
48565,266
48615,267
48665,268
48716,269
48766,269
48818,269
48868,267
48918,268
48969,267
49019,267
49071,270
49121,266
49172,268
49222,269
49272,266
49324,269
49374,269
49425,268
49475,270
49525,266
49576,270
49627,269
49678,268
49728,269
49779,268
49829,269
49880,269
49931,269
49981,269
50032,270
50082,269
50132,270
50184,269
50234,269
50285,268
50335,268
50386,269
50437,268
50487,268
50538,268
50588,267
50639,267
50690,267
50740,268
50791,268
50841,268
50892,269
50942,270
50994,267
51044,267
51094,270
51145,268
51195,270
51247,268
51297,265
51347,270
51398,269
51448,269
51500,269
51550,269
51601,268
51651,269
51701,269
51752,270
51803,271
51854,268
51904,268
51954,269
52005,269
52056,267
52107,269
52157,268
52208,267
52258,268
52308,268
52360,269
52410,269
52461,267
52511,269
52561,269
52613,266
52663,269
52714,268
52764,269
52814,270
