Time,Value
50,262
100,261
150,263
201,262
251,264
302,263
353,263
403,263
453,264
504,263
555,263
605,263
656,263
706,264
756,262
807,263
858,264
908,264
959,263
1009,263
1059,265
1111,265
1161,262
1211,262
1262,263
1312,263
1362,263
1414,262
1464,264
1514,264
1565,263
1615,264
1667,263
1717,263
1767,261
1818,264
1868,264
1918,263
1970,263
2020,263
2070,263
2121,263
2171,264
2223,265
2273,264
2323,263
2374,263
2424,264
2475,264
2526,264
2576,263
2626,263
2677,262
2727,264
2779,263
2829,264
2879,265
2930,262
2980,264
3031,262
3082,263
3132,263
3182,262
3233,265
3283,265
3335,264
3385,264
3435,262
3486,262
3536,264
3587,263
3638,263
3688,262
3738,264
3789,262
3840,264
3890,263
3941,263
3991,264
4042,263
4092,264
4143,265
4194,263
4244,263
4294,263
4345,265
4396,262
4446,262
4497,265
4547,264
4598,264
4648,263
4699,262
4750,266
4800,264
4850,265
4901,263
4952,263
5002,263
5053,263
5103,262
5154,265
5204,263
5255,265
5306,265
5356,262
5406,264
5457,263
5508,263
5558,263
5609,262
5659,263
5710,263
5761,264
5811,262
5862,264
5912,262
5962,263
6013,266
6064,263
6114,263
6165,266
6215,262
6266,262
6317,264
6367,263
6418,263
6468,263
6518,263
6569,263
6620,264
6670,265
6721,264
6771,265
6822,265
6873,264
6923,265
6974,266
7024,266
7074,266
7126,265
7176,268
7226,265
7277,265
7327,265
7378,267
7429,268
7479,268
7530,270
7580,266
7630,266
7682,268
7732,269
7782,266
7833,268
7883,267
7934,267
7985,268
8035,267
8086,267
8136,266
8186,266
8238,268
8288,267
8338,266
8389,267
8439,267
8491,264
8541,267
8591,267
8642,266
8692,265
8742,266
8794,267
8844,266
8894,267
8945,267
8995,267
9047,267
9097,267
9147,264
9198,266
9248,267
9298,265
9350,267
9400,267
9450,263
9501,266
9551,266
9602,267
9653,266
9703,264
9754,267
9804,265
9854,268
9906,267
9956,267
10006,268
10057,267
10107,269
10159,269
10209,267
10259,267
10310,269
10360,268
10412,268
10462,268
10513,268
10563,268
10613,267
10664,266
10715,267
10766,266
10816,267
10866,268
10917,267
10968,268
11019,269
11069,265
